35E-C-04-W21,0.13,0.023,1405,10,17832,1623
35E-C-05-W21,0.204,0.035,1405,25,22405,2196
35E-C-06-W21,0.292,0.05,1405,45,25605,2654
35E-C-07-W21,0.396,0.069,1913,45,32921,3047
35E-C-08-W21,0.521,0.09,1913,37,36122,3396
35E-C-09-W21,0.657,0.114,389,62,38865,3693
35E-C-10-W21,0.81,0.14,389,62,41837,3961
35E-C-12-W21,1.167,0.202,508,62,53268,4428
35E-C-14-W21,1.586,0.275,239,57,60584,4820
35E-C-16-W21,2.039,0.359,478,60,88704,5142
35E-C-22-W21,3.964,0.686,628,75,123454,5992
35E-C-28-W21,5.097,0.883,800,90,143220,6314
